parameter_id,technology,parameter,value,unit,year,currency,base_year,scope,provenance,source_title,source_organization,source_url,document_filename,page,table_or_figure,extraction_method,normalization_formula,confidence,notes
CAPEX_H2_STORAGE_BOUNDS,H2-DRI-EAF,Hydrogen storage CAPEX (scenario bounds),,USD/kWh,2035,USD,2019,"Hydrogen storage (low-cost cavern vs high-cost steel tanks), scenario bounds only",EXTERNAL,"Iron and Steel Technology Roadmap 2020 - India chapter, VRE H2-DRI case",IEA,https://www.iea.org,iea_iron_steel_technology_roadmap_2020.pdf,137,Notes to India VRE H2-DRI figure (extract lines 6576-6578),"Direct: ""Cavern storage, CAPEX = USD 0.4/kWh"" / ""High-cost hydrogen storage: Steel tanks, CAPEX = USD 15/kWh"".",Direct extraction (bounds only; no central value promoted),MEDIUM,PHASE 20: H2 storage component recorded as scenario bounds (0.4-15 USD/kWh). No central value promoted. Conditioning/storage included in boundary only when configured; base component decomposition excludes storage (IEA p.108 global electrolyser boundary excludes downstream storage).
CAPEX_ANNUALISED_COAL_DRI_EAF,Coal-DRI-EAF,CAPEX (annualised),82,USD/t crude steel,2024,USD,2019,Annualised plant-level overnight CAPEX,EXTERNAL,Sustainable Energy Transition for India's SME Steel Sector,CEEW,https://www.ceew.in,ceew_sme_steel_2026.pdf,34,Table 5.2,"Overnight CAPEX of INR 7,000 crore/Mtpa converted at 80 INR/USD and annualised at 8% over 25 years.",Overnight CAPEX ($875/t) * Capital Recovery Factor (0.0937) = $82/t,MEDIUM,Includes rotary kiln and electric arc furnace units. PHASE 20: unchanged (retained as recorded full-plant economics for the DEFERRED Coal-DRI-EAF route).
CAPEX_ANNUALISED_COAL_DRI_IF,Coal-DRI-IF,CAPEX (annualised),61.5,USD/t crude steel,2024,USD,2019,Annualised plant-level overnight CAPEX,EXTERNAL,Sustainable Energy Transition for India's SME Steel Sector,CEEW,https://www.ceew.in,ceew_sme_steel_2026.pdf,36,Table 5.3,"Overnight CAPEX of INR 5,250 crore/Mtpa converted at 80 INR/USD and annualised at 8% over 25 years.",Overnight CAPEX ($656/t) * Capital Recovery Factor (0.0937) = $61.5/t,MEDIUM,Induction furnace is significantly cheaper to construct than EAF. PHASE 20: unchanged (retained).
CAPEX_ANNUALISED_H2_DRI_EAF_PLANT,H2-DRI-EAF,"CAPEX (annualised, full plant)",,USD/t crude steel,2030,USD,2019,Annualised plant-level overnight CAPEX (full H2-DRI-EAF plant),CANDIDATE_EXTERNAL,Iron and Steel Technology Roadmap 2020 (stored primary extract),IEA,https://www.iea.org,iea_iron_steel_technology_roadmap_2020.pdf,,,"PHASE 20 CORRECTION: prior record claimed overnight CAPEX $685/t = electrolyser $158/t + DRI-EAF plant $527/t (source: ITK Research / IEA, Fig 3.4 p.108). Grep of the stored IEA extract (9020 lines) finds NO 685/527/158 capital values - only the annualised DRI-EAF range USD 53-136/t (p.30) and electrolyser 452 USD/kWe (p.108). The $685 decomposition is UNVERIFIABLE from the stored primary -> value set to null, provenance demoted to EXTERNAL_PENDING.",EXTERNAL_PENDING - full-plant overnight CAPEX unverifiable from stored primary,MEDIUM,"PHASE 25D UPDATE: overnight CAPEX candidate verified at 69,750 INR million/Mt (NITI Aayog 2026 Vol 9 p.75, 2025 prices). Cross-checked with TERI (implied total ~USD 1.48bn scenario) and Berkeley (baseline CAPEX ~USD 670/tpy). Boundary remains undefined in NITI Vol 9, so it is kept as CANDIDATE_EXTERNAL and the baseline value remains null to preserve baseline invariance."
OPEX_FIXED_COAL_DRI_EAF,Coal-DRI-EAF,OPEX fixed,35,USD/t crude steel/year,2024,USD,2019,Fixed O&M excluding energy and labour,EXTERNAL,Sustainable Energy Transition for India's SME Steel Sector,CEEW,https://www.ceew.in,ceew_sme_steel_2026.pdf,34,Table 5.2,Assumed 4% of overnight CAPEX per year,Overnight CAPEX ($875/t) * 4% = $35/t/year,MEDIUM,Standard engineering assumption. PHASE 20: unchanged (retained).
OPEX_FIXED_COAL_DRI_IF,Coal-DRI-IF,OPEX fixed,26,USD/t crude steel/year,2024,USD,2019,Fixed O&M excluding energy and labour,EXTERNAL,Sustainable Energy Transition for India's SME Steel Sector,CEEW,https://www.ceew.in,ceew_sme_steel_2026.pdf,36,Table 5.3,Assumed 4% of overnight CAPEX per year,Overnight CAPEX ($656/t) * 4% = $26/t/year,MEDIUM,Standard engineering assumption. PHASE 20: unchanged (retained).
OPEX_FIXED_H2_DRI_EAF_PLANT,H2-DRI-EAF,OPEX fixed (full plant),,USD/t crude steel/year,2030,USD,2019,Fixed O&M excluding energy and labour (full plant),EXTERNAL_PENDING,Iron and Steel Technology Roadmap 2020 (stored primary extract),IEA,https://www.iea.org,iea_iron_steel_technology_roadmap_2020.pdf,,,"PHASE 20 CORRECTION: derived from the same unverifiable $685/t overnight basis -> demoted alongside CAPEX_ANNUALISED_H2_DRI_EAF_PLANT. Electrolyser fixed OPEX component IS frozen separately (7 USD/kWe, p.108).",EXTERNAL_PENDING - full-plant basis unverifiable from stored primary,LOW,PHASE 20: full-plant H2-DRI-EAF fixed OPEX stays EXTERNAL_PENDING. The electrolyser component OPEX (7 USD/kWe) is FROZEN separately and must not be double-counted with any future full-plant FOM.
CAPEX_ELECTROLYSER_H2DRI_BOUNDS,H2-DRI-EAF,"CAPEX (electrolyser, low/high scenario bounds)",,USD/kWe,2020,USD,2019,Electrolyser CAPEX scenario bounds for the 100% H2-DRI-EAF route (low/high sensitivity cases in the IEA levelised-cost figure); process-equipment + EPC boundary per IEA,FROZEN_EXTERNAL,Iron and Steel Technology Roadmap 2020 - Ch.2 levelised cost notes (Fig 2.12),IEA,https://www.iea.org,iea_iron_steel_technology_roadmap_2020.pdf,108,Notes to Fig 2.12 (extract lines 5222-5224),"Direct: ""H2 DRI-EAF low corresponds to an electrolyser cost of USD 285/kWe and LHV efficiency of 74%. H2 DRI-EAF high corresponds to an electrolyser cost of USD 1 067/kWe and LHV efficiency of 64%.""",Direct extraction (bounds only; no central value promoted),HIGH,"PHASE 23 PROMOTION: bounds verified directly in the stored IEA primary extract (lines 5222-5224, Fig 2.12 notes p.108). Corroborate the frozen central component CAPEX_ELECTROLYSER_H2DRI (452 USD/kWe): 285/1067 USD/kWe are the low/high cases used for the H2-DRI-EAF levelised-cost sensitivity. Bounds only; the model component remains 452 USD/kWe. Same boundary (process equipment incl. electrolysers + EPC, 8% discount, 25-yr lifetime, 95% capacity factor in Fig 2.12)."
LEVELISED_COST_H2_DRI_INDIA,H2-DRI-EAF,Levelised cost of steel production via hydrogen-based DRI route in India,,USD/t crude steel,2020,USD,2019,"Levelised cost of steel (full route: electrolyser + DRI + EAF + energy), India, 95% capacity factor, grid electricity USD 30-90/MWh",FROZEN_EXTERNAL,"Iron and Steel Technology Roadmap 2020 - India chapter, Box 3.2",IEA,https://www.iea.org,iea_iron_steel_technology_roadmap_2020.pdf,135,Box 3.2 (extract lines 6488-6494),"Direct: ""Levelised costs of USD 500-860 per tonne of crude steel are achievable [for hydrogen-based DRI in India], assuming a grid electricity price range of USD 30-90 per megawatt hour (MWh).""","Direct extraction (levelised cost, NOT annualised CAPEX; do NOT use as a CAPEX term)",HIGH,"PHASE 23 PROMOTION: India-specific H2-DRI levelised cost bounds verified directly in the stored IEA primary extract (Box 3.2, p.135, lines 6488-6494). Makes the H2-DRI route economically INTERPRETABLE at route level for India (levelised USD 500-860/t vs ~USD 360-650/t for CCUS routes in the same box). Levelised cost is NOT annualised CAPEX: full-plant CAPEX decomposition (CAPEX_ANNUALISED_H2_DRI_EAF_PLANT) remains EXTERNAL_PENDING until a page-verified overnight-CAPEX source is acquired."
ELECTRICITY_H2_DRI_VOGL,H2-DRI-EAF,Electricity consumption (hydrogen direct reduction steelmaking),3.48,MWh/t liquid steel,2018,EUR,2015,"Total electricity requirement for H2-DRI steelmaking (mainly electrolyser hydrogen production), 1 Mt/yr reference plant",FROZEN_EXTERNAL,Assessment of hydrogen direct reduction for fossil-free steelmaking,"Vogl, V., Ahman, M., Nilsson, L.J. - Journal of Cleaner Production, vol. 203, pp. 736-745",https://doi.org/10.1016/j.jclepro.2018.08.279,,736,Abstract (verified via Lund University research portal),"Direct from abstract: ""hydrogen direct reduction steelmaking needs 3.48 MWh of electricity per tonne of liquid steel, mainly for the electrolyser hydrogen production.""",Direct extraction (MWh per tonne liquid steel),HIGH,"PHASE 23: abstract-verified fact (Lund University portal, DOI 10.1016/j.jclepro.2018.08.279). Corroborates the IEA H2-DRI electricity intensity. Component CAPEX decomposition from the same paper (electrolyser 600-800 EUR/kW, DRI shaft ~170-200 EUR/t, EAF ~100-120 EUR/t annual capacity, total ~1000-1400 EUR/t, Table 1/2) is recorded as EXTERNAL scenario context only - full-text tables were not independently page-verified in this session (ScienceDirect gated)."
PRODUCTION_COST_H2_DRI_VOGL,H2-DRI-EAF,Total production cost (H2-DRI steelmaking),,EUR/t steel,2018,EUR,2015,"Total production cost (CAPEX + OPEX + energy, levelised) for a 1 Mt/yr H2-DRI-EAF plant, EUR 2015",FROZEN_EXTERNAL,Assessment of hydrogen direct reduction for fossil-free steelmaking,"Vogl, V., Ahman, M., Nilsson, L.J. - Journal of Cleaner Production, vol. 203, pp. 736-745",https://doi.org/10.1016/j.jclepro.2018.08.279,,736,Abstract (verified via Lund University research portal),"Direct from abstract: ""Total production costs are in the range of 361-640 EUR per tonne of steel.""","Direct extraction (bounds; EUR 2015, 1 Mt/yr reference)",HIGH,"PHASE 23: abstract-verified fact. Same paper states H2-DRI becomes cost competitive with an integrated steel plant at a carbon price of 34-68 EUR/t CO2 and electricity costs of 40 EUR/MWh. Recorded as interpretability context, not a model CAPEX input (levelised cost)."
CAPEX_COMPONENTS_H2_DRI_VOGL,H2-DRI-EAF,"CAPEX component decomposition (scenario context, page-not-verified)",,EUR/kW (electrolyser); EUR/t annual capacity (plant),2018,EUR,2015,"Component CAPEX for 1 Mt/yr H2-DRI-EAF plant: electrolyser 600-800 EUR/kW, DRI shaft ~170-200 EUR/t, EAF ~100-120 EUR/t, total ~1000-1400 EUR/t annual capacity",EXTERNAL,Assessment of hydrogen direct reduction for fossil-free steelmaking,"Vogl, V., Ahman, M., Nilsson, L.J. - Journal of Cleaner Production, vol. 203, pp. 736-745",https://doi.org/10.1016/j.jclepro.2018.08.279,,,Table 1/2 (reported via secondary literature summary; page not independently verified in Phase 23 - ScienceDirect gated),Component CAPEX ranges reported from Vogl 2018 Tables 1-2 via secondary summary.,EXTERNAL scenario context only - NOT promotable to FROZEN_EXTERNAL until page-verified,LOW,"PHASE 23: recorded as EXTERNAL scenario context for the M1 interface and future component decomposition. MUST NOT enter the model's costed space until the exact table values are page-verified from the full text. The abstract-verified facts (3.48 MWh/t; 361-640 EUR/t production cost) are frozen separately (ELECTRICITY_H2_DRI_VOGL, PRODUCTION_COST_H2_DRI_VOGL)."
VOM_ALL_ROUTES,ALL,Variable O&M (VOM),0,USD/t steel,2024,USD,2019,Variable O&M excluding energy and material inputs,EXTERNAL,Iron and Steel Technology Roadmap,IEA,https://www.iea.org,iea_iron_steel_technology_roadmap_2020.pdf,30,Fig 1.10 Notes,Set to 0 to avoid double counting with resource consumption block.,N/A,HIGH,"Energy, ores, scrap are accounted directly via intensities in RES variables. PHASE 20: unchanged (retained)."
GRID_EMISSION_FACTOR_INDIA_2024,GRID,"grid emission factor (India, FY2023-24)",0.727,tCO2/MWh,2024,N/A,N/A,"Weighted average CO2 emission factor for all grid-connected power stations in India. Does NOT include captive/embedded generation separately. Covers grid generation mix (coal, gas, nuclear, hydro, wind, solar). Boundary: electricity generation at the point of dispatch.
",FROZEN_EXTERNAL,"CO2 Baseline Database for the Indian Power Sector, Version 20.0","Central Electricity Authority (CEA), Ministry of Power, Government of India",https://www.cea.nic.in,cea_co2_baseline_database_v20_dec2024.pdf,database summary,Weighted average emission factor table (FY2023-24),"Standard weighted average emission factor (Combined Margin = OM + BM average) from CEA's official CO2 Baseline Database. FY2022-23 value: 0.716 tCO2/MWh. FY2023-24: 0.727 tCO2/MWh. Year-on-year increase reflects reduced hydro share and increased coal dispatch.
",Direct extraction; tCO2/MWh = kgCO2/kWh × 1000 / 1000 (identity),HIGH,"PHASE 21 PROMOTION: CEA is the authoritative government primary source for India grid emission factors. This value does NOT enter the Mode A MILP objective (no carbon price mechanism in any frozen run). Purpose: anchors the Mode B NZS green electricity pathway and provides basis for comparing captive vs. grid electricity emission intensity. Corroborates Vol.4 qualitative statement (coal-heavy current grid). Prior IEA India VRE scenario value (184 gCO2/kWh = 0.184 tCO2/MWh, IEA 2020 p.137) is a 2035 GREEN ELECTRICITY SCENARIO value — NOT contradictory, different context (documented SC-05). FY2022-23 alternate value: 0.716 tCO2/MWh (same source, one year earlier).
"
