year,technology,cumulative_installed_capacity_gw,cost_low,cost_high,cost_unit,currency,base_year,system_boundary,geography,source,page_or_table,confidence,observation_type,status
2015,PEM,0.01889,2621.81,2621.81,USD/kW,USD,2024,"system-level (large-scale >=1 MWe), USD/kW, USD 2024 CPI-standardized; verified exact against Zenodo 16417026 V2.0 coding-friendly DB V1.0 Actual_CAPEX_mean (Nature Scientific Data 2025 methods: CAPEX = full system incl. equipment, installation, infrastructure, interconnection)",Global,Nature Scientific Data 2025 - Vatankhah Ghadim et al. (Clean technology cost projections) DOI 10.1038/s41597-025-05951-4,Zenodo 16417026 V2.0 - coding-friendly cost database V1.0 sheet CAPEX-PEM Electrolysis Actual_CAPEX_mean (verified),HIGH,historical_parameter,M1_ANCHOR_ONLY
2016,PEM,0.02055,1920.81,1920.81,USD/kW,USD,2024,"system-level (large-scale >=1 MWe), USD/kW, USD 2024 CPI-standardized; verified exact against Zenodo 16417026 V2.0 coding-friendly DB V1.0 Actual_CAPEX_mean (Nature Scientific Data 2025 methods: CAPEX = full system incl. equipment, installation, infrastructure, interconnection)",Global,Nature Scientific Data 2025 - Vatankhah Ghadim et al. (Clean technology cost projections) DOI 10.1038/s41597-025-05951-4,Zenodo 16417026 V2.0 - coding-friendly cost database V1.0 sheet CAPEX-PEM Electrolysis Actual_CAPEX_mean (verified),HIGH,historical_parameter,M1_ANCHOR_ONLY
2017,PEM,0.02067,1670.27,1670.27,USD/kW,USD,2024,"system-level (large-scale >=1 MWe), USD/kW, USD 2024 CPI-standardized; verified exact against Zenodo 16417026 V2.0 coding-friendly DB V1.0 Actual_CAPEX_mean (Nature Scientific Data 2025 methods: CAPEX = full system incl. equipment, installation, infrastructure, interconnection)",Global,Nature Scientific Data 2025 - Vatankhah Ghadim et al. (Clean technology cost projections) DOI 10.1038/s41597-025-05951-4,Zenodo 16417026 V2.0 - coding-friendly cost database V1.0 sheet CAPEX-PEM Electrolysis Actual_CAPEX_mean (verified),HIGH,historical_parameter,M1_ANCHOR_ONLY
2018,PEM,0.03775,1252.71,1252.71,USD/kW,USD,2024,"system-level (large-scale >=1 MWe), USD/kW, USD 2024 CPI-standardized; verified exact against Zenodo 16417026 V2.0 coding-friendly DB V1.0 Actual_CAPEX_mean (Nature Scientific Data 2025 methods: CAPEX = full system incl. equipment, installation, infrastructure, interconnection)",Global,Nature Scientific Data 2025 - Vatankhah Ghadim et al. (Clean technology cost projections) DOI 10.1038/s41597-025-05951-4,Zenodo 16417026 V2.0 - coding-friendly cost database V1.0 sheet CAPEX-PEM Electrolysis Actual_CAPEX_mean (verified),HIGH,historical_parameter,M1_ANCHOR_ONLY
2020,PEM,0.11,1217.46,1217.46,USD/kW,USD,2024,"system-level (large-scale >=1 MWe), USD/kW, USD 2024 CPI-standardized; verified exact against Zenodo 16417026 V2.0 coding-friendly DB V1.0 Actual_CAPEX_mean (Nature Scientific Data 2025 methods: CAPEX = full system incl. equipment, installation, infrastructure, interconnection)",Global,Nature Scientific Data 2025 - Vatankhah Ghadim et al. (Clean technology cost projections) DOI 10.1038/s41597-025-05951-4,Zenodo 16417026 V2.0 - coding-friendly cost database V1.0 sheet CAPEX-PEM Electrolysis Actual_CAPEX_mean (verified),HIGH,historical_parameter,M1_ANCHOR_ONLY
2021,PEM,0.15,992.23,992.23,USD/kW,USD,2024,"system-level (large-scale >=1 MWe), USD/kW, USD 2024 CPI-standardized; verified exact against Zenodo 16417026 V2.0 coding-friendly DB V1.0 Actual_CAPEX_mean (Nature Scientific Data 2025 methods: CAPEX = full system incl. equipment, installation, infrastructure, interconnection)",Global,Nature Scientific Data 2025 - Vatankhah Ghadim et al. (Clean technology cost projections) DOI 10.1038/s41597-025-05951-4,Zenodo 16417026 V2.0 - coding-friendly cost database V1.0 sheet CAPEX-PEM Electrolysis Actual_CAPEX_mean (verified),HIGH,historical_parameter,M1_ANCHOR_ONLY
2022,PEM,0.24,1234.76,1234.76,USD/kW,USD,2024,"system-level (large-scale >=1 MWe), USD/kW, USD 2024 CPI-standardized; verified exact against Zenodo 16417026 V2.0 coding-friendly DB V1.0 Actual_CAPEX_mean (Nature Scientific Data 2025 methods: CAPEX = full system incl. equipment, installation, infrastructure, interconnection)",Global,Nature Scientific Data 2025 - Vatankhah Ghadim et al. (Clean technology cost projections) DOI 10.1038/s41597-025-05951-4,Zenodo 16417026 V2.0 - coding-friendly cost database V1.0 sheet CAPEX-PEM Electrolysis Actual_CAPEX_mean (verified),HIGH,historical_parameter,M1_ANCHOR_ONLY
2023,PEM,0.30,1718.2,1718.2,USD/kW,USD,2024,"system-level (large-scale >=1 MWe), USD/kW, USD 2024 CPI-standardized; verified exact against Zenodo 16417026 V2.0 coding-friendly DB V1.0 Actual_CAPEX_mean (Nature Scientific Data 2025 methods: CAPEX = full system incl. equipment, installation, infrastructure, interconnection)",Global,Nature Scientific Data 2025 - Vatankhah Ghadim et al. (Clean technology cost projections) DOI 10.1038/s41597-025-05951-4,Zenodo 16417026 V2.0 - coding-friendly cost database V1.0 sheet CAPEX-PEM Electrolysis Actual_CAPEX_mean (verified),HIGH,historical_parameter,M1_ANCHOR_ONLY
2020,Total (dedicated water electrolysis),0.33,,,GW,,2020,"cumulative installed capacity at year-end (dedicated H2 production, excluding chlor-alkali)",Global,IEA Global Hydrogen Review 2024 + IEA electrolysers tracking / Hydrogen Projects Database (technology split),"GHR 2024 Hydrogen production chapter: ""Installed water electrolyser capacity reached 1.4 GW by the end of 2023""; IEA tracking split 2020 (ALK 200 / PEM 110 / Other 20 MW; total 330 MW)",HIGH,deployment_anchor,M1_ANCHOR_ONLY
2021,Total (dedicated water electrolysis),0.57,,,GW,,2021,"cumulative installed capacity at year-end (dedicated H2 production, excluding chlor-alkali)",Global,IEA Global Hydrogen Review 2024 + IEA electrolysers tracking / Hydrogen Projects Database (technology split),"GHR 2024 Hydrogen production chapter: ""Installed water electrolyser capacity reached 1.4 GW by the end of 2023""; IEA tracking split 2021 (ALK 370 / PEM 150 / Other 50 MW; total 570 MW)",HIGH,deployment_anchor,M1_ANCHOR_ONLY
2022,Total (dedicated water electrolysis),0.70,,,GW,,2022,"cumulative installed capacity at year-end (dedicated H2 production, excluding chlor-alkali)",Global,IEA Global Hydrogen Review 2024 + IEA electrolysers tracking / Hydrogen Projects Database (technology split),"GHR 2024 Hydrogen production chapter: ""Installed water electrolyser capacity reached 1.4 GW by the end of 2023""; IEA tracking split 2022 (ALK 400 / PEM 240 / Other 60 MW; total 700 MW)",HIGH,deployment_anchor,M1_ANCHOR_ONLY
2023,Total (dedicated water electrolysis),1.39,,,GW,,2023,"cumulative installed capacity at year-end (dedicated H2 production, excluding chlor-alkali)",Global,IEA Global Hydrogen Review 2024 + IEA electrolysers tracking / Hydrogen Projects Database (technology split),"GHR 2024 Hydrogen production chapter: ""Installed water electrolyser capacity reached 1.4 GW by the end of 2023""; IEA tracking split 2023 (ALK 840 / PEM 300 / Other 250 MW; total 1,390 MW)",HIGH,deployment_anchor,M1_ANCHOR_ONLY
2024,Total (dedicated water electrolysis),2.0,,,GW,,2024,"cumulative installed capacity at year-end (dedicated H2 production, excluding chlor-alkali)",Global,IEA Global Hydrogen Review 2024 + IEA electrolysers tracking / Hydrogen Projects Database (technology split),GHR 2025 end-2024 estimate (~2 GW),MEDIUM,deployment_anchor,M1_ANCHOR_ONLY
2020,Alkaline,0.20,,,GW,,2020,"cumulative installed capacity at year-end (dedicated H2 production, excluding chlor-alkali)",Global,IEA Global Hydrogen Review 2024 + IEA electrolysers tracking / Hydrogen Projects Database (technology split),"GHR 2024 Hydrogen production chapter: ""Installed water electrolyser capacity reached 1.4 GW by the end of 2023""; IEA tracking split 2020 (ALK 200 / PEM 110 / Other 20 MW; total 330 MW)",MEDIUM,deployment_anchor,M1_ANCHOR_ONLY
2021,Alkaline,0.37,,,GW,,2021,"cumulative installed capacity at year-end (dedicated H2 production, excluding chlor-alkali)",Global,IEA Global Hydrogen Review 2024 + IEA electrolysers tracking / Hydrogen Projects Database (technology split),"GHR 2024 Hydrogen production chapter: ""Installed water electrolyser capacity reached 1.4 GW by the end of 2023""; IEA tracking split 2021 (ALK 370 / PEM 150 / Other 50 MW; total 570 MW)",MEDIUM,deployment_anchor,M1_ANCHOR_ONLY
2022,Alkaline,0.40,,,GW,,2022,"cumulative installed capacity at year-end (dedicated H2 production, excluding chlor-alkali)",Global,IEA Global Hydrogen Review 2024 + IEA electrolysers tracking / Hydrogen Projects Database (technology split),"GHR 2024 Hydrogen production chapter: ""Installed water electrolyser capacity reached 1.4 GW by the end of 2023""; IEA tracking split 2022 (ALK 400 / PEM 240 / Other 60 MW; total 700 MW)",MEDIUM,deployment_anchor,M1_ANCHOR_ONLY
2023,Alkaline,0.84,,,GW,,2023,"cumulative installed capacity at year-end (dedicated H2 production, excluding chlor-alkali)",Global,IEA Global Hydrogen Review 2024 + IEA electrolysers tracking / Hydrogen Projects Database (technology split),"GHR 2024 Hydrogen production chapter: ""Installed water electrolyser capacity reached 1.4 GW by the end of 2023""; IEA tracking split 2023 (ALK 840 / PEM 300 / Other 250 MW; total 1,390 MW)",MEDIUM,deployment_anchor,M1_ANCHOR_ONLY
2020,PEM,0.11,,,GW,,2020,"cumulative installed capacity at year-end (dedicated H2 production, excluding chlor-alkali)",Global,IEA Global Hydrogen Review 2024 + IEA electrolysers tracking / Hydrogen Projects Database (technology split),"GHR 2024 Hydrogen production chapter: ""Installed water electrolyser capacity reached 1.4 GW by the end of 2023""; IEA tracking split 2020 (ALK 200 / PEM 110 / Other 20 MW; total 330 MW)",MEDIUM,deployment_anchor,M1_ANCHOR_ONLY
2021,PEM,0.15,,,GW,,2021,"cumulative installed capacity at year-end (dedicated H2 production, excluding chlor-alkali)",Global,IEA Global Hydrogen Review 2024 + IEA electrolysers tracking / Hydrogen Projects Database (technology split),"GHR 2024 Hydrogen production chapter: ""Installed water electrolyser capacity reached 1.4 GW by the end of 2023""; IEA tracking split 2021 (ALK 370 / PEM 150 / Other 50 MW; total 570 MW)",MEDIUM,deployment_anchor,M1_ANCHOR_ONLY
2022,PEM,0.24,,,GW,,2022,"cumulative installed capacity at year-end (dedicated H2 production, excluding chlor-alkali)",Global,IEA Global Hydrogen Review 2024 + IEA electrolysers tracking / Hydrogen Projects Database (technology split),"GHR 2024 Hydrogen production chapter: ""Installed water electrolyser capacity reached 1.4 GW by the end of 2023""; IEA tracking split 2022 (ALK 400 / PEM 240 / Other 60 MW; total 700 MW)",MEDIUM,deployment_anchor,M1_ANCHOR_ONLY
2023,PEM,0.30,,,GW,,2023,"cumulative installed capacity at year-end (dedicated H2 production, excluding chlor-alkali)",Global,IEA Global Hydrogen Review 2024 + IEA electrolysers tracking / Hydrogen Projects Database (technology split),"GHR 2024 Hydrogen production chapter: ""Installed water electrolyser capacity reached 1.4 GW by the end of 2023""; IEA tracking split 2023 (ALK 840 / PEM 300 / Other 250 MW; total 1,390 MW)",MEDIUM,deployment_anchor,M1_ANCHOR_ONLY
2020,Other (SOEC/AEM/unknown),0.02,,,GW,,2020,"cumulative installed capacity at year-end (dedicated H2 production, excluding chlor-alkali)",Global,IEA Global Hydrogen Review 2024 + IEA electrolysers tracking / Hydrogen Projects Database (technology split),"GHR 2024 Hydrogen production chapter: ""Installed water electrolyser capacity reached 1.4 GW by the end of 2023""; IEA tracking split 2020 (ALK 200 / PEM 110 / Other 20 MW; total 330 MW)",MEDIUM,deployment_anchor,M1_ANCHOR_ONLY
2021,Other (SOEC/AEM/unknown),0.05,,,GW,,2021,"cumulative installed capacity at year-end (dedicated H2 production, excluding chlor-alkali)",Global,IEA Global Hydrogen Review 2024 + IEA electrolysers tracking / Hydrogen Projects Database (technology split),"GHR 2024 Hydrogen production chapter: ""Installed water electrolyser capacity reached 1.4 GW by the end of 2023""; IEA tracking split 2021 (ALK 370 / PEM 150 / Other 50 MW; total 570 MW)",MEDIUM,deployment_anchor,M1_ANCHOR_ONLY
2022,Other (SOEC/AEM/unknown),0.06,,,GW,,2022,"cumulative installed capacity at year-end (dedicated H2 production, excluding chlor-alkali)",Global,IEA Global Hydrogen Review 2024 + IEA electrolysers tracking / Hydrogen Projects Database (technology split),"GHR 2024 Hydrogen production chapter: ""Installed water electrolyser capacity reached 1.4 GW by the end of 2023""; IEA tracking split 2022 (ALK 400 / PEM 240 / Other 60 MW; total 700 MW)",MEDIUM,deployment_anchor,M1_ANCHOR_ONLY
2023,Other (SOEC/AEM/unknown),0.25,,,GW,,2023,"cumulative installed capacity at year-end (dedicated H2 production, excluding chlor-alkali)",Global,IEA Global Hydrogen Review 2024 + IEA electrolysers tracking / Hydrogen Projects Database (technology split),"GHR 2024 Hydrogen production chapter: ""Installed water electrolyser capacity reached 1.4 GW by the end of 2023""; IEA tracking split 2023 (ALK 840 / PEM 300 / Other 250 MW; total 1,390 MW)",MEDIUM,deployment_anchor,M1_ANCHOR_ONLY
2015,Alkaline,0.13377,,,,,2015,"cumulative installed capacity at year-end (dedicated H2 production, excluding chlor-alkali)",Global,"IEA Global Hydrogen Review 2021 chart 'Global installed electrolysis capacity by technology, 2015-2020' (IEA data-and-statistics chart data CSV; source: IEA 2021 Hydrogen Projects Database)",IEA chart page data-chart-csv; GHR 2021 p.116 figure + text (290 MW total 2020; 61% ALK / 31% PEM; SOEC 0.8 MW),HIGH,deployment_anchor,M1_ANCHOR_ONLY
2015,PEM,0.01889,,,,,2015,"cumulative installed capacity at year-end (dedicated H2 production, excluding chlor-alkali)",Global,"IEA Global Hydrogen Review 2021 chart 'Global installed electrolysis capacity by technology, 2015-2020' (IEA data-and-statistics chart data CSV; source: IEA 2021 Hydrogen Projects Database)",IEA chart page data-chart-csv; GHR 2021 p.116 figure + text (290 MW total 2020; 61% ALK / 31% PEM; SOEC 0.8 MW),HIGH,deployment_anchor,M1_ANCHOR_ONLY
2015,SOEC,0.0,,,,,2015,"cumulative installed capacity at year-end (dedicated H2 production, excluding chlor-alkali)",Global,"IEA Global Hydrogen Review 2021 chart 'Global installed electrolysis capacity by technology, 2015-2020' (IEA data-and-statistics chart data CSV; source: IEA 2021 Hydrogen Projects Database)",IEA chart page data-chart-csv; GHR 2021 p.116 figure + text (290 MW total 2020; 61% ALK / 31% PEM; SOEC 0.8 MW),HIGH,deployment_anchor,M1_ANCHOR_ONLY
2015,Unknown (unspecified technology),0.00703,,,,,2015,"cumulative installed capacity at year-end (dedicated H2 production, excluding chlor-alkali)",Global,"IEA Global Hydrogen Review 2021 chart 'Global installed electrolysis capacity by technology, 2015-2020' (IEA data-and-statistics chart data CSV; source: IEA 2021 Hydrogen Projects Database)",IEA chart page data-chart-csv; GHR 2021 p.116 figure + text (290 MW total 2020; 61% ALK / 31% PEM; SOEC 0.8 MW),HIGH,deployment_anchor,M1_ANCHOR_ONLY
2015,Total (dedicated water electrolysis),0.15969,,,,,2015,"cumulative installed capacity at year-end (dedicated H2 production, excluding chlor-alkali)",Global,"IEA Global Hydrogen Review 2021 chart 'Global installed electrolysis capacity by technology, 2015-2020' (IEA data-and-statistics chart data CSV; source: IEA 2021 Hydrogen Projects Database) (total = Alkaline+PEM+SOEC+Unknown, exact sum of chart series)",IEA chart page data-chart-csv; GHR 2021 p.116 figure + text (290 MW total 2020; 61% ALK / 31% PEM; SOEC 0.8 MW),HIGH,deployment_anchor,M1_ANCHOR_ONLY
2016,Alkaline,0.13685,,,,,2016,"cumulative installed capacity at year-end (dedicated H2 production, excluding chlor-alkali)",Global,"IEA Global Hydrogen Review 2021 chart 'Global installed electrolysis capacity by technology, 2015-2020' (IEA data-and-statistics chart data CSV; source: IEA 2021 Hydrogen Projects Database)",IEA chart page data-chart-csv; GHR 2021 p.116 figure + text (290 MW total 2020; 61% ALK / 31% PEM; SOEC 0.8 MW),HIGH,deployment_anchor,M1_ANCHOR_ONLY
2016,PEM,0.02055,,,,,2016,"cumulative installed capacity at year-end (dedicated H2 production, excluding chlor-alkali)",Global,"IEA Global Hydrogen Review 2021 chart 'Global installed electrolysis capacity by technology, 2015-2020' (IEA data-and-statistics chart data CSV; source: IEA 2021 Hydrogen Projects Database)",IEA chart page data-chart-csv; GHR 2021 p.116 figure + text (290 MW total 2020; 61% ALK / 31% PEM; SOEC 0.8 MW),HIGH,deployment_anchor,M1_ANCHOR_ONLY
2016,SOEC,0.0,,,,,2016,"cumulative installed capacity at year-end (dedicated H2 production, excluding chlor-alkali)",Global,"IEA Global Hydrogen Review 2021 chart 'Global installed electrolysis capacity by technology, 2015-2020' (IEA data-and-statistics chart data CSV; source: IEA 2021 Hydrogen Projects Database)",IEA chart page data-chart-csv; GHR 2021 p.116 figure + text (290 MW total 2020; 61% ALK / 31% PEM; SOEC 0.8 MW),HIGH,deployment_anchor,M1_ANCHOR_ONLY
2016,Unknown (unspecified technology),0.0074,,,,,2016,"cumulative installed capacity at year-end (dedicated H2 production, excluding chlor-alkali)",Global,"IEA Global Hydrogen Review 2021 chart 'Global installed electrolysis capacity by technology, 2015-2020' (IEA data-and-statistics chart data CSV; source: IEA 2021 Hydrogen Projects Database)",IEA chart page data-chart-csv; GHR 2021 p.116 figure + text (290 MW total 2020; 61% ALK / 31% PEM; SOEC 0.8 MW),HIGH,deployment_anchor,M1_ANCHOR_ONLY
2016,Total (dedicated water electrolysis),0.1648,,,,,2016,"cumulative installed capacity at year-end (dedicated H2 production, excluding chlor-alkali)",Global,"IEA Global Hydrogen Review 2021 chart 'Global installed electrolysis capacity by technology, 2015-2020' (IEA data-and-statistics chart data CSV; source: IEA 2021 Hydrogen Projects Database) (total = Alkaline+PEM+SOEC+Unknown, exact sum of chart series)",IEA chart page data-chart-csv; GHR 2021 p.116 figure + text (290 MW total 2020; 61% ALK / 31% PEM; SOEC 0.8 MW),HIGH,deployment_anchor,M1_ANCHOR_ONLY
2017,Alkaline,0.14041,,,,,2017,"cumulative installed capacity at year-end (dedicated H2 production, excluding chlor-alkali)",Global,"IEA Global Hydrogen Review 2021 chart 'Global installed electrolysis capacity by technology, 2015-2020' (IEA data-and-statistics chart data CSV; source: IEA 2021 Hydrogen Projects Database)",IEA chart page data-chart-csv; GHR 2021 p.116 figure + text (290 MW total 2020; 61% ALK / 31% PEM; SOEC 0.8 MW),HIGH,deployment_anchor,M1_ANCHOR_ONLY
2017,PEM,0.02067,,,,,2017,"cumulative installed capacity at year-end (dedicated H2 production, excluding chlor-alkali)",Global,"IEA Global Hydrogen Review 2021 chart 'Global installed electrolysis capacity by technology, 2015-2020' (IEA data-and-statistics chart data CSV; source: IEA 2021 Hydrogen Projects Database)",IEA chart page data-chart-csv; GHR 2021 p.116 figure + text (290 MW total 2020; 61% ALK / 31% PEM; SOEC 0.8 MW),HIGH,deployment_anchor,M1_ANCHOR_ONLY
2017,SOEC,0.0,,,,,2017,"cumulative installed capacity at year-end (dedicated H2 production, excluding chlor-alkali)",Global,"IEA Global Hydrogen Review 2021 chart 'Global installed electrolysis capacity by technology, 2015-2020' (IEA data-and-statistics chart data CSV; source: IEA 2021 Hydrogen Projects Database)",IEA chart page data-chart-csv; GHR 2021 p.116 figure + text (290 MW total 2020; 61% ALK / 31% PEM; SOEC 0.8 MW),HIGH,deployment_anchor,M1_ANCHOR_ONLY
2017,Unknown (unspecified technology),0.00745,,,,,2017,"cumulative installed capacity at year-end (dedicated H2 production, excluding chlor-alkali)",Global,"IEA Global Hydrogen Review 2021 chart 'Global installed electrolysis capacity by technology, 2015-2020' (IEA data-and-statistics chart data CSV; source: IEA 2021 Hydrogen Projects Database)",IEA chart page data-chart-csv; GHR 2021 p.116 figure + text (290 MW total 2020; 61% ALK / 31% PEM; SOEC 0.8 MW),HIGH,deployment_anchor,M1_ANCHOR_ONLY
2017,Total (dedicated water electrolysis),0.16853,,,,,2017,"cumulative installed capacity at year-end (dedicated H2 production, excluding chlor-alkali)",Global,"IEA Global Hydrogen Review 2021 chart 'Global installed electrolysis capacity by technology, 2015-2020' (IEA data-and-statistics chart data CSV; source: IEA 2021 Hydrogen Projects Database) (total = Alkaline+PEM+SOEC+Unknown, exact sum of chart series)",IEA chart page data-chart-csv; GHR 2021 p.116 figure + text (290 MW total 2020; 61% ALK / 31% PEM; SOEC 0.8 MW),HIGH,deployment_anchor,M1_ANCHOR_ONLY
2018,Alkaline,0.14583,,,,,2018,"cumulative installed capacity at year-end (dedicated H2 production, excluding chlor-alkali)",Global,"IEA Global Hydrogen Review 2021 chart 'Global installed electrolysis capacity by technology, 2015-2020' (IEA data-and-statistics chart data CSV; source: IEA 2021 Hydrogen Projects Database)",IEA chart page data-chart-csv; GHR 2021 p.116 figure + text (290 MW total 2020; 61% ALK / 31% PEM; SOEC 0.8 MW),HIGH,deployment_anchor,M1_ANCHOR_ONLY
2018,PEM,0.03775,,,,,2018,"cumulative installed capacity at year-end (dedicated H2 production, excluding chlor-alkali)",Global,"IEA Global Hydrogen Review 2021 chart 'Global installed electrolysis capacity by technology, 2015-2020' (IEA data-and-statistics chart data CSV; source: IEA 2021 Hydrogen Projects Database)",IEA chart page data-chart-csv; GHR 2021 p.116 figure + text (290 MW total 2020; 61% ALK / 31% PEM; SOEC 0.8 MW),HIGH,deployment_anchor,M1_ANCHOR_ONLY
2018,SOEC,7e-05,,,,,2018,"cumulative installed capacity at year-end (dedicated H2 production, excluding chlor-alkali)",Global,"IEA Global Hydrogen Review 2021 chart 'Global installed electrolysis capacity by technology, 2015-2020' (IEA data-and-statistics chart data CSV; source: IEA 2021 Hydrogen Projects Database)",IEA chart page data-chart-csv; GHR 2021 p.116 figure + text (290 MW total 2020; 61% ALK / 31% PEM; SOEC 0.8 MW),HIGH,deployment_anchor,M1_ANCHOR_ONLY
2018,Unknown (unspecified technology),0.00756,,,,,2018,"cumulative installed capacity at year-end (dedicated H2 production, excluding chlor-alkali)",Global,"IEA Global Hydrogen Review 2021 chart 'Global installed electrolysis capacity by technology, 2015-2020' (IEA data-and-statistics chart data CSV; source: IEA 2021 Hydrogen Projects Database)",IEA chart page data-chart-csv; GHR 2021 p.116 figure + text (290 MW total 2020; 61% ALK / 31% PEM; SOEC 0.8 MW),HIGH,deployment_anchor,M1_ANCHOR_ONLY
