plant_id,company,plant_name,location_city,location_state,technology,capacity_mtpa,commissioning_year,status,source,page_table,provenance,confidence,note
NMDC-NAG-001,NMDC,Nagarnar Steel Plant,Nagarnar,Chhattisgarh,BF-BOF,3.0,2023,OPERATING,"NMDC disclosures (production from Sep-2023)","NMDC capacity disclosures",FROZEN_EXTERNAL,MEDIUM,
JSW-AGG-001,JSW Steel,JSW Steel domestic total (all sites),Multiple,Multiple,MIXED (predominantly BF-BOF; EAF at Salem),34.2,,OPERATING,"JSW Steel Integrated Report 2024-25 (MD&A / Operational Highlights)","JSW Steel IR 2024-25 capacity section",FROZEN_EXTERNAL,MEDIUM,"PHASE 20: JSW total domestic crude steel capacity 34.2 MTPA (incl. ~1.7 MTPA under commissioning); site-level route split not itemised in the acquired extract — company aggregate only, NOT allocated to BF-BOF route total"
JSW-VJN-001,JSW Steel,Vijayanagar Works,Vijayanagar,Karnataka,BF-BOF,17.5,1994,OPERATING,"JSW Steel investor presentation 2024 (within JSW domestic total 34.2 MTPA, IR 2024-25)","JSW investor deck plant capacities",PROJECT_PROPOSAL,MEDIUM,"Largest single-site plant in India; site-level figure NOT itemised in JSW IR 2024-25 extract — stays PROJECT_PROPOSAL; company total 34.2 is FROZEN_EXTERNAL (JSW-AGG-001)"
TATA-JMP-001,Tata Steel,Jamshedpur Works,Jamshedpur,Jharkhand,BF-BOF,11.0,1907,OPERATING,Tata Steel Annual Report 2024-25,Tata Steel AR 2024-25 plant profile,PROJECT_PROPOSAL,MEDIUM,"Subset of Tata India total 20.6 MTPA (MoS AR §6.2)"
JSP-RAI-001,Jindal Steel & Power (JSPL),Raigarh,Raigarh,Chhattisgarh,BF-BOF,3.6,2000,OPERATING,JSPL investor presentation 2024,JSPL investor deck capacity table,PROJECT_PROPOSAL,LOW,"Subset of JSPL total 9.6 MTPA crude"
AMNS-HAZ-001,ArcelorMittal Nippon Steel India,Hazira (DRI+EAF),Hazira,Gujarat,NG-DRI-EAF,9.0,1994,OPERATING,AM/NS India press releases 2024,Company disclosure 2024,PROJECT_PROPOSAL,LOW,"Gas-based DRI+EAF; expanding to 15 MTPA; current operating capacity not precisely tabulated"
IF-SECONDARY-AGG,Multiple (400+ plants),Coal-DRI + IF Secondary Sector,Various,Various,Coal-DRI-IF,68.8,Various,OPERATING,"MoS 'Greening the Steel Sector in India: Roadmap and Action Plan' (March 2025) (1,032 units) FY2023-24","MoS Greening the Steel Sector (Mar-2025)",FROZEN_EXTERNAL,MEDIUM,"IF steelmaking capacity aggregate; DRI charge ratio EXTERNAL_PENDING (IBM vs CEEW vs Fastmarkets conflict)"
EAF-SECONDARY-AGG,Multiple,EAF Secondary Sector,Various,Various,Scrap-EAF / DRI-EAF,36.61,Various,OPERATING,"MoS 'Greening the Steel Sector in India: Roadmap and Action Plan' (March 2025) (34 units) FY2023-24","MoS Greening the Steel Sector (Mar-2025)",FROZEN_EXTERNAL,MEDIUM,"EAF total includes Scrap-EAF + Coal-DRI-EAF + NG-DRI-EAF; feedstock split GAP; Scrap-EAF scrap intensity now 1.05 t/t FROZEN_EXTERNAL (Xylia 2018 Table 2 p.1063)"
H2-DRI-EAF-AGG,None,H2-DRI-EAF Commercial,N/A,N/A,H2-DRI-EAF,0.0,,NOT_OPERATING,Assessment 2024,N/A,FROZEN_EXTERNAL,HIGH,No commercial H2-DRI-EAF plant in India as of 2024
JPC-ROUTE-BOF-AGG,JPC producer rows (Annexure IV),BOF identifiable (SAIL+RINL+NMDC+OTHER BOF),Multiple,All-India,BF-BOF,34.109,,OPERATING,MoS AR 2025-26 Annexure-IV (Source: JPC),Annexure-IV p.182,FROZEN_EXTERNAL,HIGH,PHASE 24A JPC closure: SAIL 20.632 + RINL 7.300 + NMDC 3.000 + OTHER BOF 3.177 Mt. Excludes mixed producers 65.381 Mt (TSL/JSW/JSPL route split NOT tabulated).
JPC-ROUTE-IF-AGG,JPC OTHER IF row,IF route (full fleet),Multiple,All-India,Coal-DRI-IF,81.920,,OPERATING,MoS AR 2025-26 Annexure-IV (Source: JPC),Annexure-IV p.182 OTHER IF,FROZEN_EXTERNAL,HIGH,"PHASE 24A: IF route capacity CLOSED via JPC OTHER IF row. FY23-24 row 68,797 kt matches Phase-20 frozen 68.8 Mt (internal consistency confirmed). 1,032 units (MoS Greening Mar-2025 context)."
JPC-ROUTE-EAF-AGG,JPC producer rows (Annexure IV),EAF identifiable (AM/NS + OTHER EAF),Multiple,All-India,Scrap-EAF / DRI-EAF,18.923,,OPERATING,MoS AR 2025-26 Annexure-IV (Source: JPC),Annexure-IV p.182,FROZEN_EXTERNAL,MEDIUM,PHASE 24A: AM/NS 9.600 + OTHER EAF 9.323 Mt. Feedstock split (NG-DRI vs Coal-DRI vs Scrap) NOT tabulated by JPC -> Coal-DRI-EAF and pure Scrap-EAF subsets remain GAP.
JPC-ROUTE-MIXED-AGG,TSL Group + JSW Group + JSPL,Mixed producers (route split NOT tabulated),Multiple,All-India,MIXED (BF-BOF + EAF components),65.381,,OPERATING,MoS AR 2025-26 Annexure-IV (Source: JPC),Annexure-IV p.182,FROZEN_EXTERNAL,HIGH,PHASE 24A: TSL 21.581 + JSW 34.200 + JSPL 9.600 Mt. Producer-level FROZEN; internal BOF-vs-EAF route split is the documented SUB-GAP (do NOT allocate by assumption).
